dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,255,1.0,0.0,0.5,0.01,0.0,0.0,0.0,0.0
12,255,1.0,0.0,0.08,0.01,0.0,0.0,0.0,0.0
22,255,1.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0
6,255,1.0,0.0,0.17,0.02,0.0,0.0,0.0,0.0
16,255,1.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0
26,255,1.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0
4,255,1.0,0.0,0.25,0.03,0.0,0.0,0.0,0.0
14,255,1.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0
24,255,1.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0
34,255,1.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0
10,255,1.0,0.0,0.1,0.03,0.0,0.0,0.0,0.0
2,255,1.0,0.0,0.5,0.04,0.0,0.0,0.0,0.0
5,255,1.0,0.0,0.2,0.04,0.0,0.0,0.0,0.0
4,255,1.0,0.0,0.25,0.05,0.0,0.0,0.0,0.0
14,255,1.0,0.0,0.07,0.05,0.0,0.0,0.0,0.0
24,255,1.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0
34,255,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0
44,255,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
54,255,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
64,255,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
74,255,1.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0
84,255,1.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0
3,255,1.0,0.0,0.33,0.06,0.0,0.0,0.0,0.0
13,255,1.0,0.0,0.08,0.06,0.0,0.0,0.0,0.0
23,255,1.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0
33,255,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0
43,255,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
53,255,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
63,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0
73,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
83,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
93,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
103,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
113,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
123,255,1.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0
133,255,1.0,0.0,0.01,0.03,0.01,0.0,0.0,0.0
143,255,1.0,0.0,0.01,0.03,0.01,0.0,0.0,0.0
7,255,1.0,0.0,0.14,0.02,0.0,0.0,0.0,0.0
17,255,1.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0
27,255,1.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0
3,255,1.0,0.0,0.33,0.02,0.0,0.0,0.0,0.0
13,255,1.0,0.0,0.08,0.02,0.0,0.0,0.0,0.0
23,255,1.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0
3,255,1.0,0.0,0.33,0.02,0.0,0.0,0.0,0.0
13,255,1.0,0.0,0.08,0.02,0.0,0.0,0.0,0.0
23,255,1.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0
1,255,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0
8,255,1.0,0.0,0.12,0.04,0.0,0.0,0.0,0.0
18,255,1.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0
5,255,1.0,0.0,0.2,0.04,0.0,0.0,0.0,0.0
15,255,1.0,0.0,0.07,0.04,0.0,0.0,0.0,0.0
25,255,1.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0
35,255,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0
45,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0
1,255,1.0,0.0,1.0,0.04,0.0,0.01,0.0,0.0
4,255,1.0,0.0,0.25,0.04,0.0,0.01,0.0,0.0
14,255,1.0,0.0,0.07,0.04,0.0,0.01,0.0,0.0
24,255,1.0,0.0,0.04,0.04,0.0,0.01,0.0,0.0
34,255,1.0,0.0,0.03,0.04,0.0,0.01,0.0,0.0
44,255,1.0,0.0,0.02,0.04,0.0,0.01,0.0,0.0
54,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0
64,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0
74,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
84,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
94,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
104,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
114,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
124,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
134,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
144,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
154,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
164,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
174,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
184,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
194,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
204,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
214,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
224,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
234,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
244,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
254,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,0.88,0.25,0.12,0.0,0.0,0.0,0.0,0.0
18,12,0.67,0.17,0.06,0.0,0.0,0.0,0.0,0.0
28,19,0.68,0.14,0.04,0.0,0.0,0.0,0.0,0.0
38,5,0.13,0.11,0.03,0.0,0.0,0.0,0.0,0.0
48,26,0.54,0.1,0.02,0.0,0.0,0.0,0.0,0.0
58,35,0.6,0.09,0.02,0.0,0.0,0.0,0.0,0.0
68,41,0.6,0.07,0.01,0.0,0.0,0.0,0.0,0.0
78,14,0.18,0.06,0.18,0.0,0.0,0.0,0.0,0.0
88,15,0.17,0.06,0.17,0.0,0.0,0.0,0.0,0.0
98,64,0.65,0.05,0.01,0.0,0.0,0.0,0.0,0.0
108,72,0.67,0.05,0.01,0.0,0.0,0.0,0.0,0.0
118,21,0.18,0.04,0.18,0.0,0.0,0.0,0.0,0.0
5,82,0.8,0.4,0.2,0.02,0.0,0.0,0.0,0.0
15,26,0.27,0.2,0.27,0.08,0.0,0.0,0.0,0.0
25,95,0.68,0.16,0.04,0.02,0.0,0.0,0.0,0.0
35,12,0.11,0.11,0.03,0.17,0.0,0.0,0.0,0.0
45,104,0.58,0.11,0.02,0.02,0.0,0.0,0.0,0.0
55,108,0.55,0.09,0.02,0.02,0.0,0.0,0.0,0.0
65,35,0.2,0.08,0.2,0.06,0.0,0.0,0.0,0.0
75,118,0.53,0.07,0.01,0.02,0.0,0.0,0.0,0.0
85,41,0.22,0.06,0.22,0.05,0.0,0.0,0.0,0.0
95,17,0.09,0.05,0.01,0.12,0.0,0.0,0.0,0.0
6,33,1.0,0.0,0.17,0.06,0.0,0.0,0.0,0.0
16,33,1.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0
26,33,1.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0
36,36,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
46,46,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
56,56,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
66,66,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
76,76,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
86,86,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
96,96,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
106,106,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
116,116,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
126,126,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
136,136,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
146,146,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
156,156,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
166,166,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
176,176,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
186,186,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
196,196,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
206,206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,255,1.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0
13,255,1.0,0.0,0.08,0.01,0.0,0.0,0.0,0.0
10,255,1.0,0.0,0.1,0.01,0.0,0.0,0.0,0.0
2,255,1.0,0.0,0.5,0.02,0.0,0.0,0.0,0.0
12,255,1.0,0.0,0.08,0.02,0.0,0.0,0.0,0.0
22,255,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0
2,255,1.0,0.0,0.5,0.02,0.0,0.0,0.0,0.0
12,255,1.0,0.0,0.08,0.02,0.0,0.0,0.0,0.0
22,255,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0
32,255,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0
42,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
52,255,1.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0
62,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
72,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
82,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
92,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
102,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
112,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
122,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
132,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
142,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
152,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
162,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
172,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
182,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
192,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
202,255,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
212,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
222,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
232,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
242,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
252,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,255,1.0,0.0,0.14,0.01,0.0,0.0,0.0,0.0
9,255,1.0,0.0,0.11,0.01,0.0,0.0,0.0,0.0
19,255,1.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0
29,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0
39,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0
49,255,1.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0
59,255,1.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0
1,255,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0
11,255,1.0,0.0,0.09,0.02,0.0,0.0,0.0,0.0
21,255,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0
31,255,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0
3,255,1.0,0.0,0.33,0.02,0.0,0.0,0.0,0.0
13,255,1.0,0.0,0.08,0.02,0.0,0.0,0.0,0.0
4,255,1.0,0.0,0.25,0.02,0.0,0.0,0.0,0.0
1,255,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0
11,255,1.0,0.0,0.09,0.03,0.0,0.0,0.0,0.0
21,255,1.0,0.0,0.05,0.03,0.0,0.0,0.0,0.0
31,255,1.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0
41,255,1.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0
51,255,1.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0
5,255,1.0,0.0,0.2,0.04,0.0,0.0,0.0,0.0
10,255,1.0,0.0,0.1,0.04,0.0,0.0,0.0,0.0
20,255,1.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0
30,255,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0
40,255,1.0,0.0,0.03,0.04,0.03,0.0,0.0,0.0
50,255,1.0,0.0,0.02,0.04,0.02,0.0,0.0,0.0
60,255,1.0,0.0,0.02,0.04,0.02,0.0,0.0,0.0
70,255,1.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0
80,255,1.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0
90,255,1.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0
100,255,1.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0
6,255,1.0,0.0,0.17,0.04,0.0,0.0,0.0,0.0
16,255,1.0,0.0,0.06,0.04,0.0,0.0,0.0,0.0
8,255,1.0,0.0,0.12,0.04,0.0,0.0,0.0,0.0
18,255,1.0,0.0,0.06,0.04,0.06,0.01,0.0,0.0
28,255,1.0,0.0,0.04,0.04,0.04,0.01,0.0,0.0
38,255,1.0,0.0,0.03,0.04,0.03,0.01,0.0,0.0
6,255,1.0,0.0,0.17,0.04,0.0,0.01,0.0,0.0
7,255,1.0,0.0,0.14,0.04,0.0,0.01,0.0,0.0
2,255,1.0,0.0,0.5,0.04,0.0,0.01,0.0,0.0
12,255,1.0,0.0,0.08,0.04,0.0,0.01,0.0,0.0
22,255,1.0,0.0,0.05,0.04,0.0,0.01,0.0,0.0
32,255,1.0,0.0,0.03,0.04,0.0,0.01,0.0,0.0
42,255,1.0,0.0,0.02,0.04,0.0,0.01,0.0,0.0
52,255,1.0,0.0,0.02,0.04,0.0,0.01,0.0,0.0
62,255,1.0,0.0,0.02,0.03,0.0,0.01,0.0,0.0
72,255,1.0,0.0,0.01,0.02,0.0,0.01,0.0,0.0
82,255,1.0,0.0,0.01,0.02,0.0,0.01,0.0,0.0
92,255,1.0,0.0,0.01,0.02,0.0,0.01,0.0,0.0
102,255,1.0,0.0,0.01,0.02,0.0,0.01,0.0,0.0
112,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
122,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
132,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
142,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
152,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
162,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
172,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
182,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
6,255,1.0,0.0,0.17,0.02,0.0,0.0,0.0,0.0
16,255,1.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0
26,255,1.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0
36,255,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0
46,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
56,255,1.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0
1,255,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0
11,255,1.0,0.0,0.09,0.02,0.0,0.0,0.0,0.0
21,255,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0
31,255,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0
41,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
51,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
3,255,1.0,0.0,0.33,0.02,0.0,0.0,0.0,0.0
13,255,1.0,0.0,0.08,0.02,0.0,0.0,0.0,0.0
