<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230502;192000;177.8900000;178.4500000;177.7100000;178.3400000;220330
20230502;193000;178.3600000;178.6100000;178.1900000;178.2900000;216240
20230502;194000;178.2800000;178.4700000;178.2500000;178.4700000;68580
20230502;195000;178.4600000;178.5300000;178.3700000;178.4200000;156290
20230502;200000;178.4500000;178.7300000;178.4000000;178.6300000;129110
20230502;201000;178.6300000;178.6500000;178.5000000;178.5200000;81270
20230502;202000;178.5200000;178.5800000;178.5100000;178.5600000;29070
20230502;203000;178.5600000;178.5800000;178.0300000;178.0500000;202220
20230502;204000;178.1000000;178.1900000;178.0200000;178.0700000;87960
20230502;205000;178.0800000;178.1000000;178.0200000;178.0700000;68640
20230502;210000;178.0600000;178.0900000;177.8100000;178.0400000;222200
20230502;211000;178.0300000;178.2800000;178.0000000;178.1900000;76740
20230502;212000;178.1900000;178.1900000;178.0400000;178.1000000;26840
20230502;213000;178.1000000;178.1500000;178.0900000;178.1200000;37630
20230502;214000;178.1200000;178.1300000;177.9400000;177.9500000;139990
20230502;215000;177.9400000;178.1500000;177.9200000;178.0800000;100060
20230502;220000;178.0300000;178.1800000;178.0000000;178.1000000;101500
20230502;221000;178.0600000;178.1300000;177.9300000;177.9400000;161040
20230502;222000;177.9900000;178.1000000;177.9300000;178.0000000;39520
20230502;223000;178.0000000;178.0700000;177.9800000;178.0100000;60480
20230502;224000;178.0500000;178.2400000;178.0500000;178.1200000;52350
20230502;225000;178.1200000;178.2800000;178.0700000;178.0800000;74350
20230502;230000;178.1000000;178.1900000;177.9500000;178.1400000;82420
20230502;231000;178.0700000;178.4000000;178.0100000;178.3000000;84580
20230502;232000;178.3000000;178.3600000;178.2500000;178.2600000;49260
20230502;233000;178.2600000;178.2600000;178.0500000;178.1000000;24990
20230502;234000;178.1000000;178.2000000;178.0300000;178.2000000;47160
20230502;235000;178.2000000;178.2500000;177.9400000;177.9700000;98390
20230503;101000;177.7500000;177.7900000;176.7600000;177.2100000;1088080
20230503;102000;177.2100000;177.2400000;176.0000000;176.0700000;1143300
20230503;103000;176.0900000;176.4900000;175.8000000;176.0900000;1501770
20230503;104000;176.0900000;176.1300000;175.2200000;175.6800000;1556570
20230503;105000;175.6600000;175.9200000;175.5000000;175.9100000;740790
20230503;110000;175.9100000;176.5000000;175.7000000;175.9900000;817380
20230503;111000;175.9900000;176.1000000;175.4000000;176.0100000;578890
20230503;112000;176.0100000;176.1000000;175.1200000;175.2600000;579620
20230503;113000;175.3200000;175.7600000;175.1600000;175.2800000;371250
20230503;114000;175.3100000;175.4100000;175.1300000;175.2700000;269970
20230503;115000;175.2600000;175.3600000;174.9100000;175.3200000;890570
20230503;120000;175.3200000;175.8500000;175.2000000;175.7300000;293570
20230503;121000;175.7200000;175.9900000;175.5400000;175.8800000;296110
20230503;122000;175.8800000;175.9000000;175.6600000;175.8000000;116850
20230503;123000;175.8000000;176.1000000;175.6600000;176.0000000;180510
20230503;124000;176.0000000;176.3900000;176.0000000;176.3900000;300900
20230503;125000;176.3900000;176.6200000;176.0300000;176.1000000;576980
20230503;130000;176.1000000;176.3500000;175.8100000;176.2200000;348200
20230503;131000;176.2200000;176.6000000;176.0000000;176.0500000;467730
20230503;132000;176.0700000;176.4000000;176.0000000;176.2800000;231210
20230503;133000;176.2800000;176.3400000;176.0500000;176.2100000;211700
20230503;134000;176.2100000;176.7500000;176.2000000;176.5800000;323020
20230503;135000;176.5800000;177.0000000;176.5500000;176.7100000;320800
20230503;140000;176.7000000;176.8100000;176.2200000;176.7800000;248870
20230503;141000;176.7700000;177.1300000;176.3500000;176.3600000;636810
20230503;142000;176.3600000;176.4200000;176.0000000;176.0800000;647580
20230503;143000;176.0700000;176.4300000;176.0100000;176.3200000;407470
20230503;144000;176.3200000;176.5600000;176.0500000;176.1000000;254090
20230503;145000;176.1100000;176.2500000;175.3700000;175.3900000;737110
20230503;150000;175.3800000;175.6200000;175.2000000;175.6100000;399000
20230503;151000;175.6000000;176.2300000;175.3100000;175.3100000;396770
20230503;152000;175.3500000;175.7600000;175.3000000;175.5500000;312700
20230503;153000;175.5800000;175.6000000;175.3400000;175.4000000;129950
20230503;154000;175.4000000;175.4000000;175.0500000;175.1000000;408510
20230503;155000;175.1000000;175.3500000;175.0300000;175.0300000;346290
20230503;160000;175.0400000;175.1400000;174.6800000;174.8800000;1004700
20230503;161000;174.8700000;174.8800000;173.9900000;174.6800000;1238640
20230503;162000;174.6800000;174.8500000;174.3000000;174.4000000;366570
20230503;163000;174.4000000;174.4500000;173.6700000;173.7100000;968070
20230503;164000;173.7000000;174.0600000;173.1000000;174.0000000;1542700
20230503;165000;174.0000000;174.0200000;173.5900000;173.7200000;495120
20230503;170000;173.7000000;174.1900000;173.5700000;173.9100000;472590
20230503;171000;173.9300000;174.3100000;173.6500000;173.7600000;522270
20230503;172000;173.7900000;173.8900000;173.7000000;173.8800000;416500
20230503;173000;173.8600000;173.8800000;172.7100000;173.7500000;1473350
20230503;174000;173.7500000;174.7800000;173.7100000;174.4300000;1429540
20230503;175000;174.4400000;174.7600000;174.0100000;174.0500000;599340
20230503;180000;174.0500000;174.3500000;173.7600000;173.9100000;430370
20230503;181000;173.8800000;174.3700000;173.7200000;174.2200000;305620
20230503;182000;174.2100000;174.2400000;174.0100000;174.0300000;130840
20230503;183000;174.0900000;174.0900000;173.7300000;173.7600000;247410
20230503;184000;173.7600000;173.7900000;173.4000000;173.7500000;404590
20230503;185000;172.6500000;172.6500000;172.6500000;172.6500000;542250
20230503;191000;172.9400000;173.6000000;172.8000000;173.6000000;458900
20230503;192000;173.5100000;173.5100000;173.2500000;173.2700000;339300
20230503;193000;173.2700000;173.2800000;172.1500000;173.1000000;913950
20230503;194000;173.1000000;173.6900000;172.9900000;173.5300000;421490
20230503;195000;173.5200000;173.5600000;173.0000000;173.2300000;218260
20230503;200000;173.2500000;173.5500000;173.2000000;173.5000000;158160
20230503;201000;173.5000000;174.0000000;173.4500000;173.8500000;463660
20230503;202000;173.8400000;174.0000000;173.5800000;173.8500000;328180
20230503;203000;173.8600000;173.8800000;173.5200000;173.5700000;72440
20230503;204000;173.5700000;173.7500000;173.5700000;173.6800000;43420
20230503;205000;173.6900000;173.7000000;173.5400000;173.5400000;90080
20230503;210000;173.5600000;173.7400000;173.3300000;173.6000000;186670
20230503;211000;173.6000000;173.6000000;173.1800000;173.2000000;108310
20230503;212000;173.2000000;173.2400000;172.8500000;172.9900000;264210
20230503;213000;172.9900000;173.0700000;172.9000000;173.0100000;76800
20230503;214000;173.0700000;173.2600000;172.9000000;172.9700000;115530
20230503;215000;172.9700000;173.1900000;172.9000000;173.1900000;222410
20230503;220000;173.1900000;173.2000000;172.7000000;172.8800000;295260
20230503;221000;172.8800000;173.1000000;172.8800000;173.0800000;70340
20230503;222000;173.0800000;173.1600000;172.8000000;172.8700000;84870
20230503;223000;172.8800000;172.9600000;172.6600000;172.7600000;153640
20230503;224000;172.7700000;172.8300000;172.4400000;172.6800000;338150
20230503;225000;172.7000000;172.7400000;172.5000000;172.5000000;380810
20230503;230000;172.5800000;172.7000000;172.4800000;172.4900000;170210
20230503;231000;172.4800000;172.5500000;172.2600000;172.4400000;249060
20230503;232000;172.3800000;172.6500000;172.3700000;172.6300000;102860
20230503;233000;172.6300000;172.8300000;172.6100000;172.8200000;154090
20230503;234000;172.8200000;173.3000000;172.8100000;173.2100000;191650
20230503;235000;173.2000000;173.2800000;172.7300000;172.8700000;252730
20230504;101000;173.2900000;174.0900000;173.0000000;173.9000000;1754260
20230504;102000;173.9100000;174.2400000;173.5000000;173.9200000;897200
20230504;103000;173.9200000;173.9400000;172.7200000;173.0200000;801960
20230504;104000;173.0800000;173.4100000;172.4000000;173.1700000;1231300
20230504;105000;173.2000000;173.2000000;172.0100000;172.3700000;879730
20230504;110000;172.3700000;173.1700000;172.2900000;173.0100000;564440
20230504;111000;173.0100000;173.7000000;172.6200000;173.4000000;806920
20230504;112000;173.4000000;173.7700000;173.3900000;173.7700000;411240
20230504;113000;173.7700000;173.8600000;173.5500000;173.8200000;373360
20230504;114000;173.8500000;173.8600000;173.2400000;173.4300000;346300
20230504;115000;173.4300000;173.6100000;173.0000000;173.0800000;646190
20230504;120000;173.0800000;173.1300000;172.6300000;172.7100000;877650
20230504;121000;172.7100000;173.1500000;172.6100000;172.7200000;638030
20230504;122000;172.7200000;172.8900000;172.5000000;172.7000000;1110260
20230504;123000;172.7400000;173.3800000;172.5300000;173.1100000;596590
20230504;124000;173.1500000;173.4400000;173.0000000;173.0100000;267080
20230504;125000;173.0100000;173.1500000;172.8100000;173.1200000;294590
20230504;130000;173.1500000;173.3500000;173.0000000;173.2700000;313440
20230504;131000;173.2200000;173.3700000;173.0900000;173.3300000;99310
20230504;132000;173.3100000;173.3500000;173.1600000;173.2600000;153640
20230504;133000;173.2600000;173.4700000;173.2200000;173.4700000;189990
20230504;134000;173.4700000;173.6500000;173.4600000;173.6400000;125930
20230504;135000;173.6400000;173.7000000;173.2600000;173.2800000;188720
20230504;140000;173.2600000;173.2900000;173.0400000;173.1500000;148650
20230504;141000;173.1500000;173.4700000;173.1500000;173.4600000;79170
20230504;142000;173.4600000;173.4900000;173.3000000;173.3600000;157950
20230504;143000;173.3600000;173.4900000;173.3000000;173.4900000;98540
20230504;144000;173.4800000;173.5000000;173.3500000;173.4200000;95010
20230504;145000;173.4200000;173.4300000;173.1500000;173.2400000;326800
20230504;150000;173.2400000;173.2500000;173.0200000;173.0200000;84290
20230504;151000;173.0200000;173.1500000;173.0100000;173.1500000;109140
20230504;152000;173.1500000;173.3500000;173.1000000;173.2100000;107470
20230504;153000;173.2100000;173.3000000;173.0000000;173.0000000;123280
20230504;154000;173.0000000;173.0500000;172.8000000;172.9600000;262660
20230504;155000;172.9900000;173.1800000;172.9200000;172.9800000;167530
20230504;160000;172.9600000;173.0800000;172.8000000;172.8800000;100740
20230504;161000;172.8900000;173.0100000;172.8500000;173.0000000;201370
20230504;162000;172.9600000;173.0100000;172.7400000;172.8100000;136800
20230504;163000;172.7800000;173.0000000;172.7400000;172.9800000;138950
20230504;164000;172.9900000;172.9900000;172.8700000;172.9600000;72890
20230504;165000;172.9700000;173.1900000;172.9600000;173.1500000;125800
20230504;170000;173.1200000;173.2200000;173.0000000;173.1200000;114220
20230504;171000;173.0900000;173.1500000;172.9000000;172.9400000;75990
20230504;172000;172.9500000;172.9500000;172.5500000;172.5600000;421940
20230504;173000;172.5700000;172.8000000;172.5000000;172.6100000;222420
20230504;174000;172.6000000;172.8700000;172.5000000;172.8100000;357830
20230504;175000;172.8000000;172.8100000;172.5300000;172.5300000;116950
20230504;180000;172.5300000;172.7000000;172.5300000;172.6400000;144110
20230504;181000;172.6400000;173.0600000;172.6300000;173.0200000;133610
20230504;182000;173.0200000;173.3300000;172.9200000;173.0300000;253480
20230504;183000;173.0200000;173.2000000;172.9500000;173.1700000;144820
20230504;184000;173.1700000;173.2500000;173.0000000;173.1000000;160490
20230504;185000;172.5500000;172.5500000;172.5500000;172.5500000;239480
20230504;191000;172.6100000;172.9400000;172.6100000;172.8900000;50530
20230504;192000;172.8900000;172.9200000;172.7800000;172.8300000;34130
20230504;193000;172.8200000;172.8600000;172.7700000;172.8400000;19040
20230504;194000;172.8400000;172.8600000;172.8000000;172.8500000;47450
20230504;195000;172.8400000;172.8500000;172.7500000;172.8100000;54650
20230504;200000;172.8000000;172.8300000;172.7500000;172.8000000;20620
20230504;201000;172.7900000;172.8000000;172.7200000;172.8000000;28140
20230504;202000;172.8000000;172.9600000;172.7600000;172.8000000;43040
20230504;203000;172.8000000;172.9200000;172.8000000;172.9000000;33730
20230504;204000;172.9000000;172.9700000;172.8300000;172.9600000;23500
20230504;205000;172.9600000;173.1400000;172.9500000;173.1200000;74530
20230504;210000;173.1100000;173.1900000;173.0000000;173.1900000;57130
20230504;211000;173.1300000;173.2800000;173.0900000;173.2500000;77120
20230504;212000;173.2700000;173.2800000;173.1100000;173.1500000;34710
20230504;213000;173.1500000;173.4000000;173.1500000;173.4000000;88010
20230504;214000;173.4000000;173.7000000;173.3800000;173.6100000;174770
20230504;215000;173.6500000;173.7100000;173.3600000;173.5300000;112000
20230504;220000;173.4900000;173.5300000;173.2100000;173.3700000;81340
20230504;221000;173.3500000;173.4500000;173.3000000;173.3800000;37530
20230504;222000;173.3900000;173.4500000;173.2000000;173.2100000;82730
20230504;223000;173.2000000;173.4300000;173.2000000;173.4200000;24090
20230504;224000;173.4200000;173.5500000;173.4200000;173.5500000;49990
20230504;225000;173.5500000;173.5900000;173.4700000;173.5900000;47890
20230504;230000;173.5400000;173.5800000;173.4000000;173.5700000;89090
20230504;231000;173.5100000;173.7900000;173.4400000;173.7500000;153470
20230504;232000;173.6700000;173.8000000;173.5700000;173.7900000;108670
20230504;233000;173.8000000;173.9000000;173.7500000;173.7800000;84000
20230504;234000;173.8300000;173.8800000;173.7100000;173.7100000;63820
20230504;235000;173.7100000;173.7400000;173.4700000;173.6600000;151740
20230505;101000;173.6600000;173.8000000;172.8400000;173.1200000;920130
20230505;102000;173.1200000;173.4600000;172.6300000;173.2000000;664940
20230505;103000;173.2100000;173.6700000;173.0300000;173.6100000;352250
20230505;104000;173.6200000;173.7000000;173.3900000;173.4900000;390720
20230505;105000;173.4800000;174.2100000;173.0900000;174.2000000;786740
20230505;110000;174.2000000;175.4800000;174.2000000;175.2700000;2406660
20230505;111000;175.2400000;175.4400000;174.6300000;174.7800000;771740
20230505;112000;174.7800000;175.0000000;174.3500000;174.6500000;675560
20230505;113000;174.6400000;174.8000000;174.2600000;174.3900000;276710
20230505;114000;174.3900000;174.6100000;174.3000000;174.6000000;230910
20230505;115000;174.5500000;174.6100000;173.8400000;173.9900000;659840
20230505;120000;174.0300000;174.6100000;173.9800000;174.4600000;362980
20230505;121000;174.4900000;174.4900000;174.0000000;174.3800000;131660
20230505;122000;174.3700000;174.3700000;173.9100000;173.9800000;296580
20230505;123000;173.9900000;174.0000000;173.8700000;174.0000000;216360
20230505;124000;174.0000000;174.1600000;173.8900000;174.1100000;139940
20230505;125000;174.0800000;174.2000000;173.9100000;173.9900000;116990
20230505;130000;173.9900000;174.1000000;173.8200000;173.9300000;213930
20230505;131000;173.9300000;174.4400000;173.9000000;174.4400000;212490
20230505;132000;174.4400000;174.4800000;173.6300000;174.0000000;504250
20230505;133000;174.0100000;174.2000000;174.0000000;174.2000000;116280
20230505;134000;174.2000000;174.2000000;174.0500000;174.1700000;57720
20230505;135000;174.1700000;174.4000000;174.1600000;174.3700000;115190
20230505;140000;174.3800000;174.4200000;174.0400000;174.0800000;118290
20230505;141000;174.0800000;174.3400000;173.8600000;174.2700000;235350
20230505;142000;174.2600000;174.9000000;174.2500000;174.6900000;574040
20230505;143000;174.7300000;174.7500000;174.4400000;174.7200000;194050
20230505;144000;174.7200000;174.8900000;174.6000000;174.8800000;203530
20230505;145000;174.8600000;174.8800000;174.7400000;174.7400000;168460
20230505;150000;174.7500000;174.7600000;174.3800000;174.5200000;233220
20230505;151000;174.5200000;174.6600000;174.3300000;174.4700000;173940
20230505;152000;174.4700000;174.5500000;174.0700000;174.1800000;192100
20230505;153000;174.1400000;174.2000000;174.0000000;174.2000000;224510
20230505;154000;174.1900000;174.3200000;174.1200000;174.2900000;110110
20230505;155000;174.2900000;174.3000000;173.3400000;173.5100000;779380
20230505;160000;173.5200000;173.6800000;173.2600000;173.5000000;377420
20230505;161000;173.5000000;173.6000000;173.3000000;173.3500000;216320
20230505;162000;173.3400000;173.6800000;173.3400000;173.5500000;199330
20230505;163000;173.5500000;173.5600000;173.1000000;173.1900000;433070
20230505;164000;173.1800000;173.3100000;173.1000000;173.3100000;211040
20230505;165000;173.3000000;173.3100000;172.8300000;172.9900000;498130
20230505;170000;172.9900000;173.1400000;172.8100000;173.0300000;254570
20230505;171000;173.0500000;173.0900000;172.8600000;173.0200000;238300
20230505;172000;173.0100000;173.3700000;172.9300000;173.2300000;204580
20230505;173000;173.2400000;173.3800000;173.1300000;173.3500000;76980
20230505;174000;173.3300000;173.3500000;173.1300000;173.1600000;149280
20230505;175000;173.1600000;173.3700000;173.1000000;173.3200000;158950
20230505;180000;173.3000000;173.6800000;173.2600000;173.6500000;224080
20230505;181000;173.6400000;173.6400000;173.3200000;173.4000000;231150
20230505;182000;173.4000000;173.6200000;173.2600000;173.5400000;214000
20230505;183000;173.5300000;173.6200000;173.2700000;173.3200000;122720
20230505;184000;173.3900000;173.4300000;173.0900000;173.3700000;273960
20230505;185000;173.4900000;173.4900000;173.4900000;173.4900000;35860
20230505;191000;173.4900000;173.4900000;173.1100000;173.2000000;65340
20230505;192000;173.2000000;173.2400000;172.6900000;173.0800000;291280
20230505;193000;173.0900000;173.2500000;173.0800000;173.2500000;22440
20230505;194000;173.2500000;173.2600000;173.1200000;173.2300000;31310
20230505;195000;173.2100000;173.2500000;173.0700000;173.1800000;48900
20230505;200000;173.1400000;173.1800000;173.0300000;173.0800000;67680
20230505;201000;173.0600000;173.3000000;173.0600000;173.1700000;116430
20230505;202000;173.2600000;173.3000000;173.1400000;173.2400000;31600
20230505;203000;173.2300000;173.2400000;172.9500000;172.9900000;155010
20230505;204000;172.9500000;173.0200000;172.9500000;173.0000000;88010
20230505;205000;173.0200000;173.0900000;172.9000000;173.0100000;147370
20230505;210000;173.0600000;173.0600000;172.8600000;172.8800000;58700
20230505;211000;172.8800000;172.8800000;172.7000000;172.7900000;173420
20230505;212000;172.7900000;172.8100000;172.7200000;172.7700000;47110
20230505;213000;172.7800000;172.9700000;172.7500000;172.8900000;97110
20230505;214000;172.8900000;172.8900000;172.5200000;172.5200000;162610
20230505;215000;172.5200000;172.6200000;172.1000000;172.2900000;410070
20230505;220000;172.3000000;172.3800000;172.2000000;172.2500000;126080
20230505;221000;172.2600000;172.3000000;171.1600000;172.0000000;1059060
20230505;222000;172.0000000;172.2200000;171.9600000;172.2100000;159670
20230505;223000;172.2000000;172.4600000;172.1600000;172.4100000;183560
20230505;224000;172.4400000;172.5000000;172.3000000;172.3100000;68420
20230505;225000;172.3100000;172.3400000;172.1000000;172.3400000;116030
20230505;230000;172.3300000;172.3300000;172.1300000;172.1400000;63790
20230505;231000;172.1400000;172.2100000;172.0600000;172.1000000;82380
20230505;232000;172.1000000;172.1000000;172.0000000;172.0100000;156700
20230505;233000;172.0100000;172.0300000;171.9000000;171.9300000;166010
20230505;234000;171.9400000;172.0000000;171.8300000;171.8800000;168110
20230505;235000;171.8800000;172.2100000;171.7200000;172.0900000;361010
20230508;101000;172.6100000;172.9100000;172.1500000;172.2100000;755040
20230508;102000;172.2000000;172.3300000;171.5200000;171.8200000;525530
20230508;103000;171.8500000;171.8900000;171.0300000;171.0500000;1059570
20230508;104000;171.0500000;171.3100000;170.8000000;171.0500000;813270
20230508;105000;171.0500000;171.0600000;170.8700000;170.9300000;235060
20230508;110000;170.9300000;171.1300000;170.9000000;171.0300000;343890
20230508;111000;171.0100000;171.3000000;171.0000000;171.1700000;234440
20230508;112000;171.1400000;171.3000000;171.0000000;171.2500000;128930
20230508;113000;171.2000000;171.4100000;171.1200000;171.2100000;135970
20230508;114000;171.2100000;171.3600000;171.0600000;171.2500000;128990
20230508;115000;171.2300000;171.5800000;171.2300000;171.5600000;220890
20230508;120000;171.5600000;171.6700000;171.3300000;171.3500000;144250
20230508;121000;171.3600000;171.4500000;171.0900000;171.0900000;134900
20230508;122000;171.0900000;171.2700000;171.0500000;171.2700000;56320
20230508;123000;171.2700000;171.3200000;171.2000000;171.2500000;55650
20230508;124000;171.2600000;171.3000000;171.0000000;171.0700000;114680
20230508;125000;171.0900000;171.2200000;171.0000000;171.1000000;65850
20230508;130000;171.0900000;171.1000000;171.0500000;171.0500000;163760
20230508;131000;171.0500000;171.0800000;171.0000000;171.0100000;329580
20230508;132000;171.0000000;171.3600000;170.8000000;171.1800000;328670
20230508;133000;171.2000000;171.2400000;171.0700000;171.1000000;37620
20230508;134000;171.0800000;171.1000000;170.9000000;170.9900000;124840
20230508;135000;170.9900000;171.2300000;170.9700000;171.1600000;75080
20230508;140000;171.1700000;171.1700000;171.0200000;171.0800000;19190
20230508;141000;171.0800000;171.1500000;170.9700000;171.1000000;72900
20230508;142000;171.1200000;171.1300000;170.6500000;170.7700000;293380
20230508;143000;170.7700000;170.9800000;170.7100000;170.9200000;68870
20230508;144000;170.9200000;170.9900000;170.9100000;170.9800000;22050
20230508;145000;170.9800000;171.0000000;170.8200000;170.9800000;319160
20230508;150000;170.9800000;170.9900000;170.8500000;170.8600000;37880
20230508;151000;170.8900000;170.9700000;170.8300000;170.9400000;41080
20230508;152000;170.9400000;171.1000000;170.9300000;171.0300000;116520
20230508;153000;171.0600000;171.1000000;170.9500000;170.9700000;59820
20230508;154000;170.9700000;171.1000000;170.9100000;171.1000000;85190
20230508;155000;171.1000000;171.1500000;171.1000000;171.1400000;33600
20230508;160000;171.1400000;171.1400000;171.0800000;171.0800000;25290
20230508;161000;171.0800000;171.0900000;171.0800000;171.0900000;25090
20230508;162000;171.0900000;171.1000000;170.9300000;171.0400000;74180
20230508;163000;171.0400000;171.2000000;171.0300000;171.1800000;129780
20230508;164000;171.1900000;171.2100000;171.1100000;171.1100000;104980
20230508;165000;171.1400000;171.1400000;171.0000000;171.0200000;42090
20230508;170000;171.0200000;171.2800000;171.0200000;171.1200000;92200
20230508;171000;171.1400000;171.1700000;171.0700000;171.1100000;55170
20230508;172000;171.1100000;171.2500000;171.1100000;171.2500000;118240
20230508;173000;171.2500000;171.4000000;171.2000000;171.3700000;101150
20230508;174000;171.3500000;171.4700000;170.8100000;171.0700000;308480
20230508;175000;171.0800000;171.0800000;170.8900000;171.0100000;150180
20230508;180000;171.0100000;171.0200000;170.9000000;170.9700000;38480
20230508;181000;170.9400000;171.0000000;170.6500000;170.8400000;270210
20230508;182000;170.8100000;170.9300000;170.7700000;170.7900000;55030
20230508;183000;170.8100000;170.8500000;170.6500000;170.8400000;109940
20230508;184000;170.8300000;171.2400000;170.7500000;171.0900000;335250
20230508;185000;171.5000000;171.5000000;171.5000000;171.5000000;187870
20230508;191000;171.2000000;171.4900000;171.2000000;171.2600000;79810
20230508;192000;171.3100000;171.4700000;171.2600000;171.3500000;135210
20230508;193000;171.3400000;171.3700000;171.1300000;171.3600000;125040
20230508;194000;171.3500000;171.3900000;171.2100000;171.2700000;33740
20230508;195000;171.2700000;171.2700000;171.1200000;171.2300000;21280
20230508;200000;171.2300000;171.2900000;171.2000000;171.2800000;17240
20230508;201000;171.2600000;171.2900000;171.1500000;171.2200000;31890
20230508;202000;171.2200000;171.2500000;171.1700000;171.1700000;7650
20230508;203000;171.1800000;171.2400000;171.1600000;171.1900000;10300
20230508;204000;171.2200000;171.2300000;171.1300000;171.1800000;24090
20230508;205000;171.1600000;171.2400000;171.1600000;171.1700000;37600
20230508;210000;171.1900000;171.1900000;171.0400000;171.1000000;242000
20230508;211000;171.0900000;171.1100000;171.0700000;171.0800000;30900
20230508;212000;171.0700000;171.0800000;171.0000000;171.0400000;84390
20230508;213000;171.0300000;171.0400000;170.9200000;170.9800000;49320
20230508;214000;170.9700000;171.0200000;170.9300000;171.0000000;51280
20230508;215000;171.0000000;171.0000000;170.9300000;170.9700000;17770
20230508;220000;170.9700000;170.9700000;170.8400000;170.8900000;78990
20230508;221000;170.8900000;170.9000000;170.8200000;170.8700000;16110
20230508;222000;170.8700000;170.9000000;170.8000000;170.8800000;69200
20230508;223000;170.8500000;170.8900000;170.7800000;170.8800000;65810
20230508;224000;170.8400000;171.0900000;170.7800000;171.0100000;122350
20230508;225000;171.0000000;171.0800000;170.9800000;171.0600000;51230
20230508;230000;171.0400000;171.1900000;171.0000000;171.0500000;50000
20230508;231000;171.0500000;171.0600000;170.8800000;170.8800000;30860
20230508;232000;170.9300000;170.9400000;170.8500000;170.8800000;34650
20230508;233000;170.8500000;170.9400000;170.8300000;170.9200000;36530
